Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0,0.1>rho>0.001,Internationality(0.1>rho>0.001,0.99>rho>0.9,Internationality(0.99>rho>0.9,0.9>rho>0.101,Internationality(0.9>rho>0.101,rho>1,Internationality(rho>1
Mae Fah Luang University,3,2,70,5,0.75,0.9285714286,601-800,0.0001471315464056655,0.8345236604947339,0.001000018030954064,0.8345277187389375,0.9000758522492257,0.8388101252376813,0.10107804288737376,0.8350040423070785,10394.417235076733,0.0
Jamia Millia Islamia,11,3,75,31,0.35375,0.5866666667,601-800,0.0007657170653398992,0.4555694239167402,0.0011056106407014987,0.45557437706655896,0.9000368452460755,0.46874942588888996,0.10183698463794144,0.4570445109625879,99638.7068686055,0.0
Beni Suef University,8,2,122,65,0.8333333333333333,0.46721311479999994,601-800,0.0008924428313784594,0.6239978761035307,0.001008725251884418,0.6240009130523255,0.9000514373092311,0.6476577237486246,0.1016250993876342,0.6266338750675736,84767.04887811787,0.0
Kafrelsheikh University,2,0,20,9,0.01,0.55,601-800,0.0001322635759278823,0.07418167734003396,0.001014488516467571,0.07431316383959995,0.9000582641931438,0.26231700865915547,0.10109218477181903,0.09072250290002482,15736.244144743188,0.0
Tezpur University,20,4,373,160,0.6614583333333333,0.5710455764,801-1000,0.0006247584986729393,0.6145926534672624,0.0010898197017180367,0.6145934252805177,0.9001854004041229,0.6160862825560571,0.10121811952119109,0.6147596187327173,87127.35545385406,0.0
Szeged University,29,12,321,86,0.4822569444444445,0.7320872274,801-1000,0.00014682751541439387,0.59418549918962,0.0010306263693564133,0.5941969369667295,0.9001789335532754,0.6058789263224271,0.10166338131934216,0.5955006284109708,36982.450240190694,0.0
Eastern Mediterranean University,20,5,176,49,0.75625,0.7215909091,801-1000,0.001143055356521483,0.7387174481617598,0.0010532074217476928,0.7387174299019793,0.9001063638381148,0.7389001529686121,0.10101146377455872,0.7387377446216631,91598.22798147608,0.0
Tshwane University of Technology,10,1,228,13,0.1,0.9429824561,801-1000,0.0001845200148253845,0.307115857999613,0.001031400311244865,0.3072795955151712,0.900009075924411,0.5013776763586423,0.10190969603707456,0.3273758534073378,81014.84947207653,0.0
Benha University,14,2,122,26,0.65625,0.7868852459000001,801-1000,8.238941049243387e-05,0.7186054502744842,0.001071683272244467,0.7186083789702876,0.9000510854243913,0.7212716788169938,0.10156798068017359,0.7189059451881309,94916.92883105713,0.0
University of Baghdad,8,2,341,15,0.4733333333333333,0.9560117302,801-1000,0.0002435379771612567,0.6727004043090699,0.001034547212556163,0.6727332741674451,0.9000079530635536,0.7105050967349383,0.1016632171130607,0.6769270524200232,82873.80504312618,0.0
Hanoi University of Science & Technology,15,10,160,8,0.6833472222222222,0.95,801-1000,0.00048358943144855004,0.8057222723010334,0.0010251882367621201,0.8057281930560759,0.900001162640852,0.8155797367209138,0.10105399259061976,0.8068224027080493,14594.578722105925,0.0
University of Puerto Rico,16,10,668,161,0.4413125,0.7589820359,801-1000,0.00022919854871528145,0.5787520215819565,0.0010618564356839333,0.5787697322373568,0.9000655111888596,0.5980179710457035,0.10128011246725588,0.5809050686548608,35698.394657812096,0.0
Atilim University,31,6,416,85,0.6388888888888891,0.7956730769,801-1000,0.0001118695954978044,0.7129848334583908,0.0010550762976035133,0.7129888820188096,0.9000206893745761,0.716851718529813,0.10116168648047097,0.7134186950471134,66718.16174953255,0.0
Universite de Bejaia,12,6,121,0,0.4282407407407407,1.0,801-1000,0.0004688782556019344,0.6544286408184204,0.0010422762456879717,0.6544623775344182,0.9000522537462203,0.708213990100237,0.10102095629497265,0.6603696058135773,8.780423717267507,0.9241546053348748
